date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,close_adj
2025-08-25,TAIEX,7201907890,431825644540,24108.81,24362.02,24108.75,24277.38,512.91,3018636,24277.38
2025-08-26,TAIEX,8259451660,532063118603,24237.36,24382.42,24113.03,24305.1,27.72,3221950,24305.1
2025-08-27,TAIEX,7675360712,467302614203,24449.81,24539.88,24410.08,24519.9,214.8,3273312,24519.9
2025-08-28,TAIEX,7619400963,449197099212,24468.12,24502.37,24236.45,24236.45,-283.45,3361480,24236.45
2025-08-29,TAIEX,7716714041,478348167874,24438.03,24570.15,24233.1,24233.1,-3.35,3386334,24233.1
2025-09-01,TAIEX,7882519521,522538354934,24143.37,24312.83,23885.41,24071.73,-161.37,3994537,24071.73
2025-09-02,TAIEX,6868073676,420249878093,24113.9,24295.03,23890.33,24016.78,-54.95,3133277,24016.78
2025-09-03,TAIEX,6215237843,375154827165,24036.88,24103.23,23925.49,24100.3,83.52,2825606,24100.3
2025-09-04,TAIEX,7455297262,450547881333,24235.27,24389.35,24168.16,24179.85,79.55,3277050,24179.85
2025-09-05,TAIEX,6973379276,426569974111,24244.26,24494.58,24244.26,24494.58,314.73,3089868,24494.58
2025-09-08,TAIEX,7768998687,443185374596,24610.85,24729.96,24547.38,24547.38,52.8,3241448,24547.38
2025-09-09,TAIEX,8091742979,512534389842,24650.46,24880.07,24650.46,24855.18,307.8,3429591,24855.18
2025-09-10,TAIEX,8693632992,540470187649,25032.88,25272.23,25032.88,25192.59,337.41,3674708,25192.59
2025-09-11,TAIEX,9553641157,609494103234,25509.3,25541.44,25174.13,25215.71,23.12,4224556,25215.71
2025-09-12,TAIEX,7830621434,495051339127,25349.7,25492.28,25349.7,25474.64,258.93,3399552,25474.64
2025-09-15,TAIEX,6958333955,407891369036,25494.1,25519.94,25284.17,25357.16,-117.48,3179132,25357.16
2025-09-16,TAIEX,7560459055,455107630117,25335.46,25664.81,25335.46,25629.64,272.48,3183247,25629.64
2025-09-17,TAIEX,7849906030,439687060953,25543.91,25632.07,25422.96,25438.25,-191.39,3344507,25438.25
2025-09-18,TAIEX,8339290249,467374300986,25543.17,25769.36,25475.25,25769.36,331.11,3371322,25769.36
